Drug_ID,Food,Impact,Effect
DB00862,grapefruit_products,increase,serum_concentration
DB00864,alcohol,increase,extended_release_formulations
DB00865,caffeine,increase,central_nervous_system
DB00875,alcohol,enhance,alcohol_effects
DB00877,grapefruit_products,increase,serum_concentration
DB00877,St_Johns_Wort,reduce,serum_concentration
DB00881,potassium_containing_products,increase,hyperkalemia
DB00897,alcohol,increase,drowsiness
DB00897,grapefruit_products,reduce,metabolism
DB00899,alcohol,increase,central_nervous_system_depressants
DB00906,alcohol,increase,drowsiness
DB00909,alcohol,increase,drowsiness
DB00910,antacids,increase,aluminum
DB00910,grapefruit_products,increase,serum_concentration
DB00911,alcohol,cause,flushing
DB00921,alcohol,increase,central_nervous_system_depressants
DB00921,grapefruit_products,increase,serum_concentration
DB00927,alcohol,increase,gastric_irritation
DB00927,caffeine,increase,gastric_irritation
DB00939,alcohol,increase,gastrointestinal_hemorrhage
DB00943,ions,reduce,drug_absorption
DB00945,alcohol,increase,gastrointestinal_hemorrhage
DB00950,fruit_juice,reduce,biological_availability
DB00951,alcohol,increase,isoniazid
DB00951,histamine,cause,headaches
DB00958,echinacea,decrease,effectiveness
DB00960,alcohol,aggravate,additive_drug_effects
DB00962,alcohol,increase,central_nervous_system_depressants
DB00962,fatty_food,reduce,biological_availability
DB00972,alcohol,cause,central_nervous_system_depressants
DB00975,xanthines,reduce,effectiveness
DB00977,St_Johns_Wort,decrease,effectiveness
DB00997,St_Johns_Wort,reduce,serum_concentration
DB00997,grapefruit_products,increase,serum_concentration
DB00999,alcohol,potentiate,hypotension
DB00999,ions,decrease,drug_absorption
DB00999,licorice,potentiate,drug_efficacy
DB01016,alcohol,increase,hypoglycemia
DB01018,fatty_food,increase,drug_exposure
DB01026,alcohol,cause,liver_injury
DB01026,ions,decrease,drug_concentrations
DB01028,alcohol,increase,central_nervous_system_depressants
DB01037,tyramine,increase,uncontrolled_hypertension
DB01041,alcohol,increase,drowsiness
DB01048,alcohol,increase,drug_exposure
DB01065,alcohol,reduce,drug_efficacy
DB01067,alcohol,increase,hypoglycemia
DB01069,alcohol,increase,sedation_procedure
DB01076,grapefruit_products,increase,adverse_effects
DB01088,herb,increase,hemorrhage
DB01100,grapefruit_products,increase,serum_concentration
DB01109,calcium_supplement,decrease,calcium_levels
DB01115,grapefruit_products,cause,toxicity
DB01118,grapefruit_products,increase,serum_concentration
DB01118,St_Johns_Wort,reduce,effectiveness
DB01142,alcohol,enhance,adverse_effects
DB01142,St_Johns_Wort,decrease,serum_concentration
DB01167,ions,decrease,drug_concentrations
DB01168,alcohol,potentiate,central_nervous_system_depressants
DB01181,alcohol,worsen,nausea
DB01192,alcohol,potentiate,central_nervous_system_depressants
DB01197,potassium_containing_products,increase,hyperkalemia
DB01198,alcohol,potentiate,central_nervous_system_depressants
DB01198,grapefruit_products,reduce,metabolism
DB01213,alcohol,reduce,metabolism
DB01223,vitamin_supplements,reduce,vitamin_b6_measurement
DB01223,alcohol,reduce,serum_concentration
DB01223,grapefruit_products,increase,serum_concentration
DB01223,St_Johns_Wort,reduce,effectiveness
DB01229,echinacea,decrease,effectiveness
DB01229,grapefruit_products,increase,serum_concentration
DB01229,St_Johns_Wort,reduce,serum_concentration
DB01235,ions,reduce,drug_absorption
DB01238,alcohol,increase,central_nervous_system
DB01244,alcohol,potentiate,hypotension
DB01246,alcohol,potentiate,central_nervous_system_depressants
DB01248,grapefruit_products,increase,serum_concentration
DB01248,St_Johns_Wort,reduce,serum_concentration
DB01254,grapefruit_products,reduce,metabolism
DB01254,St_Johns_Wort,reduce,serum_concentration
DB01255,antacids,reduce,drug_efficacy
DB01255,vitamin_C,increase,drug_efficacy
DB01259,grapefruit_products,reduce,metabolism
DB01268,grapefruit_products,reduce,metabolism
DB01268,St_Johns_Wort,reduce,serum_concentration
DB01273,alcohol,increase,alcohol_effects
DB01278,alcohol,increase,hypoglycemia
DB01307,alcohol,impair,glycemic_control
DB01309,alcohol,impair,glycemic_control
DB01319,alcohol,impair,metabolism
DB01320,alcohol,increase,serum_concentration
DB01320,St_Johns_Wort,reduce,serum_concentration
DB01324,alcohol,potentiate,hypotension
DB01330,alcohol,cause,alcohol_effects
DB01348,potassium_containing_products,increase,hyperkalemia
DB01351,alcohol,increase,central_nervous_system_depressants
DB01367,tyramine,increase,hypertensive
DB01381,herb,increase,hemorrhage
DB01396,avocado,cause,additive_drug_effects
DB01399,alcohol,increase,gastrointestinal_hemorrhage
DB01501,alcohol,enhance,central_nervous_system_depressants
DB01551,alcohol,enhance,central_nervous_system_depressants
DB01553,alcohol,increase,central_nervous_system_depressants
DB01558,alcohol,increase,central_nervous_system_depressants
DB01563,alcohol,cause,flushing
DB01589,alcohol,increase,central_nervous_system
DB01590,grapefruit_products,increase,serum_concentration
DB01590,St_Johns_Wort,reduce,serum_concentration
DB01601,St_Johns_Wort,reduce,plasma_concentration
DB01612,alcohol,worsen,hypotension
DB03147,alcohol,reduce,drug_absorption
DB03247,alcohol,reduce,drug_absorption
DB04571,furanocoumarins,increase,skins_sensitivity
DB04572,grapefruit_products,increase,serum_concentration
DB04572,St_Johns_Wort,reduce,serum_concentration
DB04835,St_Johns_Wort,reduce,serum_concentration
DB04844,alcohol,increase,drowsiness
DB04845,grapefruit_products,increase,serum_concentration
DB04845,St_Johns_Wort,reduce,serum_concentration
DB04846,fruit_juice,reduce,drug_absorption
DB04846,grapefruit_products,reduce,drug_absorption
DB04855,grapefruit_products,increase,drug_concentrations
DB04855,St_Johns_Wort,increase,serum_concentration
DB04868,grapefruit_products,increase,serum_concentration
DB04868,St_Johns_Wort,reduce,serum_concentration
DB04896,alcohol,worsen,liver_injury
DB04908,alcohol,increase,central_nervous_system_depressants
DB04948,alcohol,potentiate,alcohol_effects
DB05109,St_Johns_Wort,reduce,serum_concentration
DB05109,grapefruit_products,increase,serum_concentration
DB05154,alcohol,increase,hepatotoxicity
DB05239,grapefruit_products,increase,serum_concentration
DB05239,St_Johns_Wort,reduce,serum_concentration
DB05294,grapefruit_products,increase,serum_concentration
DB05294,St_Johns_Wort,reduce,serum_concentration
DB05316,St_Johns_Wort,reduce,effectiveness
DB05351,St_Johns_Wort,reduce,effectiveness
DB05467,St_Johns_Wort,decrease,effectiveness
DB05521,St_Johns_Wort,decrease,drug_concentrations
DB05528,alcohol,increase,liver_injury
DB05541,alcohol,increase,alcohol_effects
DB05676,St_Johns_Wort,reduce,serum_concentration
DB05773,grapefruit_products,increase,serum_concentration
DB05812,St_Johns_Wort,increase,serum_concentration
DB06016,grapefruit_products,increase,adverse_effects
DB06016,St_Johns_Wort,decrease,drug_efficacy
DB06077,grapefruit_products,increase,serum_concentration
DB06119,alcohol,increase,sedation_procedure
DB06176,grapefruit_products,increase,serum_concentration
DB06176,St_Johns_Wort,reduce,serum_concentration
DB06212,alcohol,increase,osmotic_demyelination_syndrome
DB06212,grapefruit_products,increase,serum_concentration
DB06212,St_Johns_Wort,reduce,serum_concentration
DB06213,caffeine,reduce,ischemic_changes
DB06228,St_Johns_Wort,decrease,drug_concentrations
DB06234,St_Johns_Wort,decrease,effectiveness
DB06237,alcohol,increase,hypotension
DB06283,alcohol,increase,central_nervous_system
DB06287,grapefruit_products,increase,serum_concentration
DB06287,St_Johns_Wort,reduce,serum_concentration
DB06288,alcohol,enhance,alcohol_effects
DB06410,antacids,increase,hypermagnesemia
DB06414,grapefruit_products,increase,serum_concentration
DB06414,St_Johns_Wort,reduce,serum_concentration
DB06589,grapefruit_products,increase,serum_concentration
DB06589,St_Johns_Wort,reduce,serum_concentration
DB06595,St_Johns_Wort,reduce,serum_concentration
DB06595,grapefruit_products,increase,serum_concentration
DB06603,grapefruit_products,increase,serum_concentration
DB06603,St_Johns_Wort,reduce,serum_concentration
DB06605,St_Johns_Wort,decrease,drug_concentrations
DB06616,grapefruit_products,increase,serum_concentration
DB06616,St_Johns_Wort,reduce,serum_concentration
DB06626,grapefruit_products,increase,serum_concentration
DB06626,St_Johns_Wort,reduce,serum_concentration
DB06636,St_Johns_Wort,reduce,serum_concentration
DB06654,alcohol,increase,sedation_procedure
DB06654,St_Johns_Wort,increase,serotonin
DB06654,tyramine,cause,hypertension
DB06695,St_Johns_Wort,reduce,serum_concentration
DB06717,grapefruit_products,increase,serum_concentration
DB06717,St_Johns_Wort,reduce,serum_concentration
DB06723,citrate,increase,drug_absorption
DB06754,alcohol,increase,hemorrhage
DB06754,herb,increase,hemorrhage
DB06772,grapefruit_products,increase,serum_concentration
DB06772,St_Johns_Wort,reduce,serum_concentration
DB08496,grapefruit_products,increase,serum_concentration
DB08496,St_Johns_Wort,reduce,serum_concentration
DB08816,grapefruit_products,increase,serum_concentration
DB08816,herb,increase,hemorrhage
DB08816,St_Johns_Wort,reduce,serum_concentration
DB08820,fatty_food,increase,drug_exposure
DB08864,St_Johns_Wort,decrease,drug_concentrations
DB08865,grapefruit_products,increase,serum_concentration
DB08865,St_Johns_Wort,reduce,serum_concentration
DB08870,grapefruit_products,increase,plasma_concentration
DB08870,St_Johns_Wort,reduce,plasma_concentration
DB08875,grapefruit_products,increase,drug_concentrations
DB08875,St_Johns_Wort,reduce,drug_concentrations
DB08877,grapefruit_products,increase,serum_concentration
DB08877,St_Johns_Wort,reduce,serum_concentration
DB08881,fatty_food,increase,area_under_curve
DB08881,grapefruit_products,increase,serum_concentration
DB08881,St_Johns_Wort,reduce,serum_concentration
DB08881,caffeine,increase,adverse_effects
DB08882,alcohol,increase,adverse_effects
DB08890,fatty_food,cause,loose_stools
DB08895,St_Johns_Wort,reduce,serum_concentration
DB08896,grapefruit_products,increase,serum_concentration
DB08896,St_Johns_Wort,reduce,serum_concentration
DB08899,St_Johns_Wort,reduce,serum_concentration
DB08901,St_Johns_Wort,reduce,serum_concentration
DB08912,grapefruit_products,increase,serum_concentration
DB08912,St_Johns_Wort,reduce,serum_concentration
DB08912,fatty_food,reduce,biological_availability
DB08918,alcohol,increase,serum_concentration
DB08918,herb,increase,hemorrhage
DB08918,St_Johns_Wort,increase,serotonin
DB08931,St_Johns_Wort,reduce,serum_concentration
DB08935,echinacea,reduce,effectiveness
DB08936,alcohol,increase,drowsiness
DB08976,alcohol,increase,gastrointestinal_irritation
DB08976,herb,increase,gastrointestinal_hemorrhage
DB09026,fatty_food,reduce,biological_availability
DB09027,St_Johns_Wort,reduce,serum_concentration
DB09030,herb,increase,hemorrhage
DB09030,St_Johns_Wort,reduce,serum_concentration
DB09039,grapefruit_products,increase,drug_concentrations
DB09039,St_Johns_Wort,reduce,serum_concentration
DB09048,grapefruit_products,increase,serum_concentration
DB09048,St_Johns_Wort,reduce,serum_concentration
DB09053,grapefruit_products,increase,serum_concentration
DB09053,St_Johns_Wort,reduce,serum_concentration
DB09054,grapefruit_products,increase,serum_concentration
DB09054,St_Johns_Wort,reduce,serum_concentration
DB09061,alcohol,increase,sedation_procedure
DB09061,grapefruit_products,increase,serum_concentration
DB09061,St_Johns_Wort,reduce,serum_concentration
DB09063,grapefruit_products,increase,serum_concentration
DB09063,St_Johns_Wort,reduce,serum_concentration
DB09065,St_Johns_Wort,reduce,serum_concentration
DB09068,St_Johns_Wort,increase,serotonin
DB09070,St_Johns_Wort,increase,metabolism
DB09071,grapefruit_products,increase,serum_concentration
DB09071,St_Johns_Wort,reduce,serum_concentration
DB09072,alcohol,potentiate,central_nervous_system
DB09073,grapefruit_products,increase,serum_concentration
DB09073,St_Johns_Wort,reduce,serum_concentration
DB09074,grapefruit_products,increase,serum_concentration
DB09074,St_Johns_Wort,reduce,serum_concentration
DB09075,herb,increase,hemorrhage
DB09078,herb,cause,hypertension
DB09097,alcohol,increase,dizziness
DB09097,snacks,reduce,gastric_irritation
DB09101,St_Johns_Wort,reduce,effectiveness
DB09102,grapefruit_products,increase,serum_concentration
DB09102,St_Johns_Wort,reduce,serum_concentration
DB09118,alcohol,increase,sedation_procedure
DB09123,grapefruit_products,increase,serum_concentration
DB09123,St_Johns_Wort,reduce,serum_concentration
DB09128,St_Johns_Wort,reduce,serum_concentration
DB09129,vitamin_supplements,increase,drug_absorption
DB09129,vitamin_C,increase,drug_absorption
DB09143,grapefruit_products,increase,serum_concentration
DB09143,St_Johns_Wort,reduce,serum_concentration
DB09183,St_Johns_Wort,reduce,serum_concentration
DB09255,herb,increase,hemorrhage
DB09272,alcohol,increase,pancreatitis
DB09275,alcohol,cause,flushing
DB09287,alcohol,increase,seizures
DB09289,grapefruit_products,increase,serum_concentration
DB09289,St_Johns_Wort,reduce,serum_concentration
DB09291,St_Johns_Wort,reduce,serum_concentration
DB09299,St_Johns_Wort,cause,serum_concentration
DB09317,grapefruit_products,increase,serum_concentration
DB09317,St_Johns_Wort,reduce,serum_concentration
DB09318,grapefruit_products,increase,serum_concentration
DB09318,St_Johns_Wort,reduce,serum_concentration
DB09381,grapefruit_products,increase,serum_concentration
DB09381,St_Johns_Wort,reduce,serum_concentration
DB09389,grapefruit_products,increase,serum_concentration
DB09389,St_Johns_Wort,reduce,serum_concentration
DB09421,fatty_food,increase,blood_lipid
DB09564,alcohol,impair,glycemic_control
DB09570,St_Johns_Wort,reduce,serum_concentration
DB11098,potassium_containing_products,cause,hyperkalemia
DB11130,alcohol,cause,central_nervous_system
DB11136,vitamin_supplements,increase,drug_absorption
DB11136,vitamin_C,increase,drug_absorption
DB11186,alcohol,cause,central_nervous_system_depressants
DB11255,vitamin_C,increase,drug_absorption
DB11363,grapefruit_products,increase,serum_concentration
DB11363,St_Johns_Wort,reduce,serum_concentration
DB11574,St_Johns_Wort,reduce,serum_concentration
DB11574,grapefruit_products,increase,serum_concentration
DB11581,grapefruit_products,increase,serum_concentration
DB11581,St_Johns_Wort,reduce,serum_concentration
DB11586,St_Johns_Wort,reduce,serum_concentration
DB11586,grapefruit_products,increase,serum_concentration
DB11609,alcohol,cause,central_nervous_system
DB11610,alcohol,cause,central_nervous_system
DB11614,grapefruit_products,increase,serum_concentration
DB11637,St_Johns_Wort,reduce,serum_concentration
DB11641,grapefruit_products,increase,serum_concentration
DB11641,St_Johns_Wort,reduce,serum_concentration
DB11642,St_Johns_Wort,reduce,serum_concentration
DB11691,St_Johns_Wort,reduce,serum_concentration
DB11693,grapefruit_products,decrease,drug_exposure
DB11703,grapefruit_products,increase,serum_concentration
DB11703,St_Johns_Wort,reduce,serum_concentration
DB11712,grapefruit_products,increase,serum_concentration
DB11712,St_Johns_Wort,reduce,serum_concentration
DB11718,grapefruit_products,increase,serum_concentration
DB11718,St_Johns_Wort,reduce,serum_concentration
DB11730,grapefruit_products,increase,serum_concentration
DB11730,St_Johns_Wort,reduce,serum_concentration
DB11738,alcohol,increase,sedation_procedure
DB11757,St_Johns_Wort,decrease,drug_concentrations
DB11820,alcohol,increase,adverse_effects
DB11823,alcohol,increase,sedation_procedure
DB11827,alcohol,increase,ketoacidosis
DB11828,grapefruit_products,increase,serum_concentration
DB11828,St_Johns_Wort,reduce,serum_concentration
DB11859,alcohol,increase,drowsiness
DB11915,St_Johns_Wort,reduce,serum_concentration
DB11921,grapefruit_products,increase,serum_concentration
DB11921,St_Johns_Wort,reduce,serum_concentration
DB11938,alcohol,cause,alcohol_effects
DB11952,St_Johns_Wort,reduce,serum_concentration
DB11963,grapefruit_products,increase,serum_concentration
DB11963,St_Johns_Wort,reduce,serum_concentration
DB11978,St_Johns_Wort,reduce,serum_concentration
DB11986,grapefruit_products,increase,serum_concentration
DB11986,St_Johns_Wort,reduce,serum_concentration
DB12001,grapefruit_products,increase,serum_concentration
DB12001,St_Johns_Wort,reduce,serum_concentration
DB12010,St_Johns_Wort,reduce,serum_concentration
DB12015,St_Johns_Wort,reduce,serum_concentration
DB12026,St_Johns_Wort,reduce,serum_concentration
DB12070,St_Johns_Wort,decrease,serum_concentration
DB12095,fatty_food,increase,biological_availability
DB12130,grapefruit_products,increase,serum_concentration
DB12130,St_Johns_Wort,reduce,serum_concentration
DB12141,grapefruit_products,increase,serum_concentration
DB12141,St_Johns_Wort,reduce,serum_concentration
DB12147,grapefruit_products,increase,serum_concentration
DB12147,St_Johns_Wort,reduce,serum_concentration
DB12240,grapefruit_products,increase,plasma_concentration
DB12267,grapefruit_products,increase,serum_concentration
DB12267,St_Johns_Wort,reduce,serum_concentration
DB12301,St_Johns_Wort,reduce,serum_concentration
DB12329,St_Johns_Wort,reduce,serum_concentration
DB12332,grapefruit_products,increase,serum_concentration
DB12332,St_Johns_Wort,reduce,serum_concentration
DB12364,herb,increase,hemorrhage
DB12483,grapefruit_products,increase,serum_concentration
DB12483,St_Johns_Wort,reduce,serum_concentration
DB12500,grapefruit_products,increase,serum_concentration
DB12500,St_Johns_Wort,reduce,serum_concentration
DB12612,tyramine,increase,hypertension
DB12825,grapefruit_products,increase,serum_concentration
DB12825,St_Johns_Wort,reduce,serum_concentration
DB12941,St_Johns_Wort,reduce,serum_concentration
DB12978,grapefruit_products,increase,serum_concentration
DB12978,St_Johns_Wort,reduce,serum_concentration
DB12978,fatty_food,increase,reactions
DB13074,St_Johns_Wort,reduce,serum_concentration
DB13257,caffeine,reduce,drug_absorption
DB13257,vitamin_C,increase,drug_absorption
DB13275,herb,increase,anticoagulant
DB13381,caffeine,reduce,drug_absorption
DB13381,vitamin_C,increase,drug_absorption
DB13874,grapefruit_products,increase,serum_concentration
DB13874,St_Johns_Wort,reduce,serum_concentration
DB13878,St_Johns_Wort,decrease,serum_concentration
DB13879,St_Johns_Wort,decrease,serum_concentration
DB13952,grapefruit_products,increase,serum_concentration
DB13952,St_Johns_Wort,reduce,effectiveness
DB13954,grapefruit_products,increase,serum_concentration
DB13954,St_Johns_Wort,reduce,effectiveness
DB13956,grapefruit_products,increase,serum_concentration
DB13956,St_Johns_Wort,reduce,effectiveness
DB13997,antacids,decrease,plasma_concentration
DB13997,milk,decrease,plasma_concentration
DB13997,ions,reduce,drug_absorption
DB14019,St_Johns_Wort,reduce,serum_concentration
DB14488,caffeine,reduce,drug_absorption
DB14488,vitamin_C,increase,drug_absorption
DB14491,caffeine,reduce,drug_absorption
DB14491,vitamin_C,increase,drug_absorption
DB14509,alcohol,increase,serum_concentration
DB14509,caffeine,decrease,drug_concentrations
DB14529,vitamin_C,increase,drug_absorption
DB14568,fatty_food,increase,area_under_curve
DB14568,grapefruit_products,increase,serum_concentration
DB14568,St_Johns_Wort,reduce,serum_concentration
DB14583,St_Johns_Wort,reduce,serum_concentration
DB14723,grapefruit_products,increase,serum_concentration
DB14723,St_Johns_Wort,reduce,serum_concentration
DB14975,grapefruit_products,increase,serum_concentration
DB14975,St_Johns_Wort,reduce,serum_concentration
DB15031,alcohol,impair,central_nervous_system
DB15035,grapefruit_products,increase,serum_concentration
DB15035,St_Johns_Wort,reduce,serum_concentration
DB15091,St_Johns_Wort,reduce,serum_concentration
DB15102,grapefruit_products,increase,adverse_effects
DB15233,grapefruit_products,increase,serum_concentration
DB15233,St_Johns_Wort,reduce,serum_concentration
DB15328,St_Johns_Wort,reduce,serum_concentration
DB15444,grapefruit_products,increase,serum_concentration
DB15444,St_Johns_Wort,reduce,serum_concentration
DB15465,alcohol,increase,central_nervous_system
DB15566,alcohol,cause,gastric_irritation
DB16165,grapefruit_products,increase,adverse_effects
DB16390,St_Johns_Wort,decrease,effectiveness
DB16691,St_Johns_Wort,reduce,effectiveness
