Drug_ID,Food,Recommendation,Time,Recommendation_text
DB00031,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00031,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00033,alcohol,Avoid,,"Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption."
DB00034,alcohol,Avoid,,Avoid alcohol.
DB00055,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00055,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00055,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00055,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00055,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00055,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00059,alcohol,Avoid,,"Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
DB00060,alcohol,Avoid,,"Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
DB00068,alcohol,Avoid,,"Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects."
DB00078,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00078,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00078,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00078,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00078,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00078,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00085,fluids,Drink,,Drink plenty of fluids.
DB00085,fluids,Take,,Take with fluids.
DB00085,food,Take,,"Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less."
DB00086,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00086,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00086,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00086,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00086,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00086,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00091,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00091,St_Johns_Wort,Avoid,,Avoid St John's Wort.
DB00091,,Take,same time every day,Take at the same time every day. Take consistently with regard to food.
DB00104,food,Do_not_take,,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.
DB00104,food,Take,,Take with or without food. Octreotide injections may be taken with or without food.
DB00105,alcohol,Avoid,,Avoid alcohol.
DB00115,food,Take,,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.
DB00126,ions,Avoid,,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper."
DB00130,food,Take,,"Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed."
DB00134,food,Take,,Take with food.
DB00146,food,Take,,"Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively."
DB00163,food,Take,,Take with or without food. High-fat foods may increase absorption of Vitamin E.
DB00175,food,Take,,Take with or without food. Lipid lowering effects are similar in the fasting and fed state.
DB00176,alcohol,Avoid,,Avoid alcohol.
DB00176,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00176,caffeine,Limit,,Limit caffeine intake.
DB00176,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00177,food,Take,,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00178,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00181,alcohol,Avoid,,Avoid alcohol.
DB00181,food,Take,,Take with food. Take with food or milk to reduce gastric irritation.
DB00182,food,Take,,Take with or without food.
DB00184,food,Take,15 minutes before,"Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use."
DB00186,alcohol,Avoid,,Avoid alcohol.
DB00186,caffeine,Limit,,Limit caffeine intake.
DB00186,food,Take,,Take with food.
DB00188,flavonoids,Limit,,"Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea."
DB00188,vitamin_C,Limit,,Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.
DB00189,alcohol,Avoid,,Avoid alcohol.
DB00189,food,Take,,Take with food. Food reduces irritation.
DB00191,caffeine,Limit,,Limit caffeine intake.
DB00191,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00193,food,Take,,Take with or without food. Co-administration of food does not affect pharmacokinetics.
DB00196,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00198,food,Take,,Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.
DB00199,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00199,food,Do_not_take,30 minutes to 2 hours before,"Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption."
DB00199,water,Take,,Take with a full glass of water.
DB00203,food,Take,,Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.
DB00204,food,Take,,Take with or without food.
DB00205,folic_acid,Administer,,Administer folic acid supplement. Folic acid need is increased.
DB00205,food,Take,,Take with food. Food reduces irritation.
DB00206,alcohol,Avoid,,Avoid alcohol.
DB00206,food,Take,,Take with food. Food reduces irritation.
DB00207,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00208,food,Take,,Take with food. Food can help ticlopidine-induced stomach upset.
DB00209,food,Do_not_take,1 hour before,Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.
DB00211,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00213,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00214,food,Take,,Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.
DB00215,alcohol,Avoid,,Avoid alcohol.
DB00215,St_Johns_Wort,Avoid,,Avoid St John's Wort.
DB00215,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00216,food,Take,,"Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent."
DB00218,fluids,Drink,,Drink plenty of fluids.
DB00218,food,Take,,Take with or without food.
DB00220,food,Take,,Take with food. Food increases exposure and decreases pharmacokinetic variability.
DB00222,alcohol,Avoid,,Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.
DB00222,food,Take,,Take with food. The manufacturer recommends administration with the first meal of the day.
DB00224,alcohol,Avoid,,Avoid excessive or chronic alcohol consumption.
DB00224,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00224,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00224,water,Take,,Take with a full glass of water.
DB00227,food,Take,,Take with food. Food increases bioavailability.
DB00230,food,Take,,"Take with or without food. Food alters drug absorption, but not to a clinically significant extent."
DB00231,alcohol,Avoid,,Avoid alcohol.
DB00231,food,Take,,Take with or without food.
DB00233,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00237,alcohol,Avoid,,Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.
DB00238,alcohol,Avoid,,Avoid alcohol.
DB00238,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00241,alcohol,Avoid,,Avoid alcohol. Profound CNS depression can occur.
DB00243,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00243,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00244,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00245,alcohol,Avoid,,Avoid alcohol.
DB00245,food,Take,,Take with food. Food reduces irritation.
DB00246,alcohol,Avoid,,Avoid alcohol.
DB00246,food,Take,,Take with food.
DB00247,food,Take,,Take with food. Food reduces irritation.
DB00248,food,Take,,Take with or without food. Taking cabergoline with food may reduce gastric irritation.
DB00250,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00252,antacids,Take,2 hours before or after,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.
DB00252,food,Take,,Take with food. Food reduces irritation and increases bioavailability.
DB00254,food,Take,,"Take with or without food. The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. If gastric irritation occurs, it is recommended that doxycycline be given with food or milk."
DB00256,food,Take,,Take with or without food.
DB00258,food,Take,,"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations."
DB00261,food,Take,,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
DB00262,echinacea,Avoid,,Avoid echinacea.
DB00264,alcohol,Avoid,,Avoid alcohol.
DB00264,licorice,Avoid,,Avoid natural licorice.
DB00264,food,Take,,Take with food.
DB00266,ginseng,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00266,ginkgo,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00266,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00266,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
DB00268,food,Take,,Take with or without food. May take with food to reduce nausea.
DB00270,food,Take,,Take with or without food.
DB00273,food,Take,,Take with or without food. Food slightly alters absorption but not to any clinically significant extent.
DB00275,food,Take,,Take with or without food. Food does not affect absorption.
DB00277,St_Johns_Wort,Avoid,,Avoid St John's Wort.
DB00277,food,Take,,Take with or without food. Take consistently with regard to food.
DB00278,garlic,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,ginger,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,bilberry,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,danshen,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,piracetam,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,ginkgo_biloba,Avoid,,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
DB00278,St_Johns_Wort,Exercise_caution,,Exercise caution with St John's Wort.
DB00279,food,Take,,Take with or without food.
DB00280,alcohol,Avoid,,Avoid alcohol.
DB00280,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00283,alcohol,Avoid,,Avoid alcohol.
DB00283,food,Take,,Take with food.
DB00284,food,Take,,Take with food. Each dose should be taken with the first bite of a main meal.
DB00285,alcohol,Avoid,,"Avoid alcohol. The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated."
DB00285,food,Take,,Take with food. Co-administration with food helps to alleviate or mitigate gastrointestinal upset.
DB00286,food,Take,,Take with or without food. Consult individual product monograph for specific instructions.
DB00289,food,Take,,Take with or without food.
DB00291,fluids,Drink,,Drink plenty of fluids.
DB00291,food,Do_not_take,,Take on an empty stomach. Co-administration with food decreases bioavailability.
DB00294,vitamin_supplements,Administer,,Administer vitamin supplements.
DB00294,alcohol,Avoid,,Avoid alcohol.
DB00294,caffeine,Limit,,Limit caffeine intake.
DB00294,,Take,same time every day,Take at the same time every day.
DB00294,food,Take,,Take with food.
DB00295,alcohol,Avoid,,"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death."
DB00295,food,Take,,Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food.
DB00300,food,Take,,Take with or without food.
DB00301,food,Do_not_take,,Take on an empty stomach.
DB00302,food,Take,,Take with or without food. The co-administration of food does not significantly affect tranexamic acid disposition.
DB00307,food,Take,,Take with food.
DB00310,food,Take,,Take with food. Food may increase bioavailability.
DB00313,alcohol,Avoid,,Avoid alcohol.
DB00313,milk,Avoid,,Avoid milk and dairy products.
DB00313,food,Take,,Take with food.
DB00315,food,Take,,Take with or without food. Food does not significantly impact the oral bioavalibility of zolmitriptan.
DB00316,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00317,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00317,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00318,alcohol,Avoid,,Avoid alcohol.
DB00318,food,Take,,Take with food. Food reduces irritation.
DB00321,alcohol,Avoid,,Avoid alcohol.
DB00321,St_Johns_Wort,Avoid,,Avoid St John's Wort.
DB00321,caffeine,Limit,,Limit caffeine intake.
DB00321,food,Take,,Take with food. Food reduces irritation.
DB00323,food,Take,1 hour before,Take with or without food. There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone.
DB00327,alcohol,Avoid,,Avoid alcohol.
DB00327,food,Take,,Take with or without food. Food does not significantly affect absorption.
DB00328,food,Take,,"Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin."
DB00330,antacids,Take,4 hours after,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.
DB00330,food,Take,,Take with food. Food reduces irritation.
DB00331,alcohol,Avoid,,Avoid alcohol.
DB00331,food,Take,,Take with food. Food reduces irritation.
DB00333,alcohol,Avoid,,Avoid alcohol.
DB00333,food,Take,,Take with or without food. Food does not significantly affect absorption.
DB00334,food,Take,,Take with or without food. The absorption of olanzapine is unaffected by food.
DB00338,food,Take,30-60 minutes before,Take before a meal. Allow 30-60 minutes before a meal.
DB00339,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00341,alcohol,Avoid,,Avoid alcohol.
DB00341,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00342,St_Johns_Wort,Exercise_caution,,Exercise caution with St John's Wort. This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4.
DB00343,licorice,Avoid,,Avoid natural licorice. The risk of cardiovascular adverse effects may be increased.
DB00346,food,Take,,Take after a meal. Take alfuzosin after the same meal everyday. Do not take on an empty stomach.
DB00347,alcohol,Avoid,,Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.
DB00348,phenylalanine_tyrosine,Limit,,Limit the intake of phenylalanine and tyrosine.
DB00348,food,Take,,Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.
DB00348,food,Take,,Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours.
DB00349,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00350,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00351,food,Take,,Take with food.
DB00352,food,Take,,"Take with or without food. However, food intake may lower tioguanine serum levels."
DB00356,alcohol,Avoid,,Avoid alcohol.
DB00356,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00357,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00358,alcohol,Avoid,,Avoid alcohol.
DB00358,water,Take,,Take with a full glass of water.
DB00358,food,Take,,"Take with food. The presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability."
DB00360,,Take,same time every day,Take at the same time every day.
DB00360,food,Take,,"Take with food. Taking sapropterin with food increases oral absorption. Sapropterin may be dissolved in water, juice, or dispersed in applesauce."
DB00363,alcohol,Avoid,,Avoid alcohol.
DB00363,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00364,food,Do_not_take,1 hour before or 2 hours after,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
DB00364,antacids,Take,30 minutes before,Take separate from antacids. Take at least 30 minutes before or after antacids.
DB00365,caffeine,Avoid,,Avoid caffeine.
DB00365,fluids,Drink,,Drink plenty of fluids.
DB00365,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00367,,Take,same time every day,Take at the same time every day.
DB00367,food,Take,,Take with or without food. The effect of food on absorption has not been evaluated.
DB00370,alcohol,Avoid,,Avoid alcohol.
DB00370,food,Take,,Take with or without food. Food does not significantly affect absorption.
DB00371,alcohol,Avoid,,Avoid alcohol.
DB00371,food,Take,,Take with or without food. Food does not significantly affect absorption.
DB00372,alcohol,Avoid,,Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine.
DB00374,food,Take,,Take with food. Taking treprostinil with food increases oral absorption.
DB00375,fluids,Drink,,Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.
DB00375,food,Take,,Take with food.
DB00376,food,Take,before,Take with or without food. Taking with food may minimize stomach upset. May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation.
DB00377,food,Take,,Take with or without food.
DB00379,food,Take,,Take with food. Food reduces irritation.
DB00381,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00381,licorice,Avoid,,Avoid natural licorice.
DB00381,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00382,food,Do_not_take,,Take on an empty stomach. Take tacrine at least one hour before meals for optimal absorption.
DB00387,food,Take,,Take with or without food. Taking with food may reduce the adverse effects of procyclidine.
DB00390,ions,Avoid,,Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.
DB00390,potassium-containing products,Avoid,,Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.
DB00390,high_fiber_foods,Do_not_take,,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.
DB00393,grapefruit_products,Avoid,,Avoid grapefruit products.
DB00393,food,Take,,Take with or without food. Take consistently at the same time in regard to meals.
DB00395,alcohol,Avoid,,Avoid alcohol.
DB00395,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00396,vitamin_supplements,Administer,,Administer vitamin supplements.
DB00396,alcohol,Avoid,,Avoid alcohol.
DB00396,caffeine,Limit,,Limit caffeine intake.
DB00396,,Take,same time every day,Take at the same time every day.
DB00396,food,Take,,Take with food.
DB00397,caffeine,Limit,,Limit caffeine intake.
DB00397,food,Take,,Take with or without food. The absorption is unaffected by food.
DB00398,food,Do_not_take,,Take on an empty stomach. Take sorafenib with at least one-hour separation before meals and two hours after meals.
